"url","lastAccess","title","fromSitemap"
"https://www.tartley.com/posts/hull-zero-three/","09.07.2023","Hull Zero Three | tartley.com","YES"
"https://www.tartley.com/posts/dina-as-otf/","09.07.2023","Dina font as an OTF. | tartley.com","YES"
"https://www.tartley.com/posts/facade/","09.07.2023","Façade | tartley.com","YES"
"https://www.tartley.com/posts/pycon-uk-2007/","09.07.2023","PyCon UK 2007 | tartley.com","YES"
"https://www.tartley.com/categories/psychology/","09.07.2023","Posts about psychology | tartley.com","YES"
"https://www.tartley.com/posts/rosencrantz-and-guildenstern-are-dead/","09.07.2023","Rosencrantz and Guildenstern Are Dead | tartley.com","YES"
"https://www.tartley.com/?p=208","06.07.2023","tartley.com","NO"
"https://www.tartley.com/posts/format-python-snippets-with-black/","06.07.2023","Format Python Snippets with Black. | tartley.com","YES"
"https://www.tartley.com/categories/software/","05.07.2023","Posts about software | tartley.com","YES"
"https://www.tartley.com/posts/my-fonts-look-crap-i-blame-windows-and-ati/","05.07.2023","My Fonts Look Crap. I blame Windows and ATI. | tartley.com","YES"
"https://www.tartley.com/posts/sinister-redux/","05.07.2023","Sinister Redux | tartley.com","YES"
"https://www.tartley.com/index-17.html","05.07.2023","tartley.com (old posts, page 17) | tartley.com","YES"
"https://www.tartley.com/posts/envisioning-information/","05.07.2023","Envisioning Information | tartley.com","YES"
"https://www.tartley.com/posts/pumping-iron-dynamic-languages-on-net/","05.07.2023","Pumping Iron : Dynamic Languages on .Net | tartley.com","YES"
"https://www.tartley.com/posts/opengl-draw-api-visualised/","04.07.2023","OpenGL Draw API Visualised | tartley.com","YES"
"https://www.tartley.com/posts/manifold-garden/","04.07.2023","Manifold Garden | tartley.com","YES"
"https://www.tartley.com/posts/opengl-shading-language/","04.07.2023","Opengl Shading Language | tartley.com","YES"
"https://www.tartley.com/posts/launch-gitk-displaying-all-extant-branches/","02.07.2023","Launch Gitk displaying all branches | tartley.com","YES"
"https://www.tartley.com/posts/sole-scion-project-v01-a-2d-rigid-body-python-game/","30.06.2023","Sole Scion project v0.1 : A 2D rigid-body Python game | tartley.com","YES"
"https://www.tartley.com/posts/use-light-opacity-rgba-to-fix-halo-artifacts-along-edges-of-textures/","30.06.2023","Use light-opacity RGBA to fix halo artifacts along edges of textures | tartley.com","YES"
"https://www.tartley.com/posts/django-testing-201-acceptance-tests-vs-unit-tests/","29.06.2023","Django testing 201 : Acceptance Tests vs Unit Tests | tartley.com","YES"
"https://www.tartley.com/posts/freakonomics-a-rogue-economist-explores-the-yada-yada/","29.06.2023","Freakonomics: A Rogue Economist Explores the yada yada | tartley.com","YES"
"https://www.tartley.com/posts/hot-fuzz/","28.06.2023","Hot Fuzz | tartley.com","YES"
"https://www.tartley.com/posts/fallacious-affordance/","28.06.2023","Fallacious Affordance | tartley.com","YES"
"https://www.tartley.com/index-23.html","28.06.2023","tartley.com (old posts, page 23) | tartley.com","YES"
"https://www.tartley.com/posts/ra/","28.06.2023","Ra | tartley.com","NO"
"https://www.tartley.com/index-2.html","28.06.2023","tartley.com (old posts, page 2) | tartley.com","YES"
"https://www.tartley.com/categories/","28.06.2023","Tags | tartley.com","YES"
"https://www.tartley.com/files/2007/03/caseforforwarderrorcorrection-v113-16mar2007.pdf","28.06.2023","scimakelatex.45812.Prof.+Michael+Foord.Dr.+Andrzej+Krzywda.Rev.+Christian+Muirhead.Sir+William+Reade.Gp+Capt.+Jonathan+Hartley.dvi","NO"
"https://www.tartley.com/categories/novel/","28.06.2023","Posts about novel | tartley.com","YES"
"https://www.tartley.com/posts/miracleman/","28.06.2023","Miracleman, books 1, 2 & 3 | tartley.com","YES"
"https://www.tartley.com/posts/a-science-fiction-omnibus/","28.06.2023","A Science-Fiction Omnibus | tartley.com","YES"
"https://www.tartley.com/posts/halting-state/","28.06.2023","Halting State | tartley.com","YES"
"https://www.tartley.com/posts/makers/","28.06.2023","Makers | tartley.com","YES"
"https://www.tartley.com/posts/jpod/","28.06.2023","jPod | tartley.com","YES"
"https://www.tartley.com/posts/fahrenheit-451/","28.06.2023","Fahrenheit 451 | tartley.com","YES"
"https://www.tartley.com/posts/the-hidden-layer/","28.06.2023","The Hidden Layer | tartley.com","YES"
"https://www.tartley.com/posts/city-at-the-end-of-time/","28.06.2023","City at the End of Time | tartley.com","YES"
"https://www.tartley.com/index-5.html","27.06.2023","tartley.com (old posts, page 5) | tartley.com","YES"
"https://www.tartley.com/categories/non-fiction/","26.06.2023","Posts about non-fiction | tartley.com","YES"
"https://www.tartley.com/posts/avenue-q/","26.06.2023","Avenue Q | tartley.com","YES"
"https://www.tartley.com/posts/expert-python-programming/","23.06.2023","Expert Python Programming | tartley.com","YES"
"https://www.tartley.com/index-4.html","23.06.2023","tartley.com (old posts, page 4) | tartley.com","YES"
